date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:41:11	57/57	---MCZ	200	added ('OK')	text/plain	date:Mon,%2016%20Mar%202015%2012:41:12%20GMT	https://sites.google.com/robots.txt		(from )
20:41:12	26008/26008	---MCZ	200	added ('OK')	text/html	etag:%221425486098000|#public|0|en|||0%22	https://sites.google.com/site/ieeevcip2015/	C:/My%20Web%20Sites/typ/sites.google.com/site/ieeevcip2015/index.html	(from )
20:41:13	3147/3147	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Mar%202015%2017:30:19%20GMT	https://ssl.gstatic.com/sites/p/b9df9c/system/app/images/apple-touch-icon.png	C:/My%20Web%20Sites/typ/ssl.gstatic.com/sites/p/b9df9c/system/app/images/apple-touch-icon.png	(from https://sites.google.com/site/ieeevcip2015/)
20:41:15	21899/21899	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Mar%202015%2012:41:13%20GMT	https://sites.google.com/site/ieeevcip2015/CSI/	C:/My%20Web%20Sites/typ/sites.google.com/site/ieeevcip2015/CSI/index.html	(from https://sites.google.com/site/ieeevcip2015/)
20:41:15	43/43	---M--	200	added ('OK')	image/gif	date:Wed,%2004%20Mar%202015%2017:30:19%20GMT	https://ssl.gstatic.com/sites/p/b9df9c/system/app/images/cleardot.gif	C:/My%20Web%20Sites/typ/ssl.gstatic.com/sites/p/b9df9c/system/app/images/cleardot.gif	(from https://sites.google.com/site/ieeevcip2015/)
20:41:16	42186/42186	---MC-	200	added ('OK')	text/css	date:Wed,%2004%20Mar%202015%2017:30:19%20GMT	https://ssl.gstatic.com/sites/p/b9df9c/system/app/css/codemirror_css.css	C:/My%20Web%20Sites/typ/ssl.gstatic.com/sites/p/b9df9c/system/app/css/codemirror_css.css	(from https://sites.google.com/site/ieeevcip2015/)
20:41:17	8590/8590	---MC-	200	added ('OK')	text/css	date:Wed,%2004%20Mar%202015%2017:30:19%20GMT	https://ssl.gstatic.com/sites/p/b9df9c/system/app/css/trogedit.css	C:/My%20Web%20Sites/typ/ssl.gstatic.com/sites/p/b9df9c/system/app/css/trogedit.css	(from https://sites.google.com/site/ieeevcip2015/)
20:41:18	10006/10006	---MC-	200	added ('OK')	text/css	date:Mon,%2016%20Mar%202015%2012:41:19%20GMT	https://sites.google.com/site/ieeevcip2015/_/rsrc/1425486098000/system/app/css/editor.css	C:/My%20Web%20Sites/typ/sites.google.com/site/ieeevcip2015/_/rsrc/1425486098000/system/app/css/editor.css	(from https://sites.google.com/site/ieeevcip2015/)
20:41:18	1032/1032	---MC-	200	added ('OK')	text/css	date:Wed,%2004%20Mar%202015%2017:30:19%20GMT	https://ssl.gstatic.com/sites/p/b9df9c/system/app/css/codeeditor.css	C:/My%20Web%20Sites/typ/ssl.gstatic.com/sites/p/b9df9c/system/app/css/codeeditor.css	(from https://sites.google.com/site/ieeevcip2015/)
20:41:19	196769/196769	---MC-	200	added ('OK')	text/css	date:Wed,%2004%20Mar%202015%2017:30:19%20GMT	https://ssl.gstatic.com/sites/p/b9df9c/system/app/themes/ski/standard-css-ski-ltr-ltr.css	C:/My%20Web%20Sites/typ/ssl.gstatic.com/sites/p/b9df9c/system/app/themes/ski/standard-css-ski-ltr-ltr.css	(from https://sites.google.com/site/ieeevcip2015/)
